[BROUILLON INTERMÉDIAIRE OBSOLÈTE — voir fluvial-identification-complete.md pour la version corrigée. Entrées dépassées : N001, N052, N054, N072, N074, N082, N083, N089, N093, N096. Conservé uniquement à titre d'archive de travail.]

| ID | watercourseId | Toponyme Jaillot | Identification proposée | Confiance |
| N067 | r-pech | R. Pech | Río Patuca (Honduras) — identification reprise de `villes-data.js`, avec réserve de position | ⚠️ moyen/faible |
| N068 | r-poumaron | R. Poumaron | **Rivière Pomeroon** (Guyana) | ✅ fort |
| N069 | r-quemades | R. Quemades | Non déterminé (secteur Bocas del Toro) | ⚠️ faible |
| N070 | r-serapique | R. Serapique | **Río Sarapiquí** (Costa Rica), affluent du San Juan | ✅ fort |
| N071 | r-snelo | R. Snelo | Non déterminé | Non déterminé |
| N072 | r-st-pedro | R. St Pedro | Non déterminé (affluent probable de la Sierra Norte de Puebla vers le Golfe) | ⚠️ faible |
| N073 | r-talamanca | R. Talamanca | Cours de la région Talamanca (Río Sixaola ou Río Telire — hyp.) | ⚠️ moyen |
| N074 | r-tispe | R Tispe | **Río Tuxpan** — hypothèse phonétique et positionnelle | ⚠️ faible |
| N075 | r-waymy | R. Waymy | **Rivière Waini** (Guyana) | ✅ fort |
| N076 | r-yayrepo | R Yayrepo | Une des bouches du delta du Río San Juan (non tranché laquelle) | ⚠️ faible |
| N077 | rio-de-aluerado | Rio de Aluerado | **Río Papaloapan** (embouchure à Alvarado — « Aluerado » = Alvarado) | ✅ fort |
| N078 | rio-de-carare | Rio de Carare | **Río Carare** | ✅ fort |
| N079 | rio-de-los-redes | Rio de los Redes | Cours de la rive orientale du golfe d'Urabá, secteur frontalier Darién/Nouvelle-Grenade (Río León — hyp.) | ⚠️ faible |
| N080 | rio-del-canaveral | Rio del Canaveral | Non déterminé (probablement sans lien avec le Cap Canaveral réel — « cañaveral » = roselière générique) | Non déterminé |
| N081 | rio-del-spirito-sancto | Rio del Spirito Sancto | Hypothèse : écho de « Bahía del Espíritu Santo » = **Tampa Bay** historique, conflation baie/embouchure | ⚠️ moyen |
| N082 | rio-grande-de-la-madalena | Rio Grande de la Madalena | **Río Magdalena** | ✅ fort |
| N083 | rio-grande-de-santa-martha | Rio Grande de Santa Martha | **Río Cauca** (toponyme colonial hérité de la province de Santa Marta — pas un fleuve de la Sierra Nevada) | ⚠️ moyen/fort |
| N084 | rio-grande-del-darien | Rio Grande del Darién | **Río Atrato** (nom historique alternatif « Río Grande del Darién ») | ✅ fort |
| N085 | rio-negro | Rio Negro | Non déterminé (petit cours/distributaire près du delta de l'Atrato, secteur Antioquia/Sinú) | ⚠️ faible |
| N086 | rio-palmas-dos-bogas | Rio Palmas dos Bogas | **Río Palizada** (distributaire de l'Usumacinta) — hypothèse | ⚠️ faible |
| N087 | rio-san-juan | Rio San Juan | **Río San Juan** (Nicaragua/Costa Rica) | ✅ fort |
| N088 | riviere-aux-vaches | Rivière aux Vaches | **Lavaca River** (Texas), déformation de « Rivière des Vaches » (La Salle) | ✅ fort |
| N089 | riviere-sablomuere | Rivière Sablomuere | **Red River** (Rivière Rouge) — repris tel quel de R006 (session précédente) | ✅ fort |
| N090 | s-maria-river | S. Maria River | **Río Tanela** (rivière de Santa María la Antigua del Darién) | ✅ fort |
| N091 | sal-r | Sal R | Río Cangrejal (La Ceiba, Honduras) — identification reprise de `villes-data.js` | ⚠️ moyen |
| N092 | salinas | Salinas | Non déterminé (cours côtier du Soconusco, Chiapas) | ⚠️ faible |
| N093 | sampoval-r | Sampoval R | **Río Actopan / Chachalacas** (« Sampoval » ~ corruption de Cempoala/Zempoala, ville riveraine) | ✅ fort |
| N094 | sholes | Sholes | Non déterminé (petit cours côtier près de New Edinburgh/Caledonia) | ⚠️ faible |
| N095 | st-anns | St Anns | Non déterminé (petit cours/lagune côtière à l'est de Villahermosa) | ⚠️ faible |
| N096 | subutla | Subutla | Non déterminé (côte Michoacán/Colima, entre Manzanillo et Zacatula) | ⚠️ faible |
| N097 | suere-ou-blewfield-river | Suere ou Blewfield River | Ancienne province/rivière de Suerre (Parismina/Tortuguero, Costa Rica) — PAS le Bluefields moderne | ⚠️ moyen |
| N098 | suriname | Suriname | **Fleuve Suriname** (Paramaribo) | ✅ fort |
| N099 | tabasco-r | Tabasco R. | **Système Grijalva/Usumacinta** (delta de Villahermosa) — malgré l'étiquette « guatemala » | ✅ fort |
| N100 | tondelo | Tondelo | Non déterminé (petit cours côtier à l'est de Villahermosa, delta Usumacinta/Grijalva) | ⚠️ faible |
| N101 | trigu-r | Trigu R. | Une des bouches du delta du Río San Juan, peut-être la branche « Taura » historique | ⚠️ faible |
| N102 | varacoyari-river | Varacoyari River | Non déterminé (bras du delta sud, près de Macurevoari) | ⚠️ faible |
| N103 | veragua-r | Veragua R. | **Río Santa María** (Veraguas, à proximité de Santa Fe de Veraguas) — hyp. | ⚠️ moyen |
| N104 | xagua-r | Xagua R. | **Río Aguán** (Honduras) | ✅ fort |
| N105 | yare-r | Yare R. | **« Yara/Cape River »**, cours inférieur historique du Río Coco/Wangki | ✅ fort |
